food_name_in_french,energy_in_kJ_for_100g,energy_in_kcal_for_100g,energy_with_jones_and_fibers_in_kJ_for_100g,energy_with_jones_and_fibers_in_kcal_for_100g,proteins_with_jones_in_g_for_100g,carbohydrates_in_g_for_100g,fats_in_g_for_100g,water_in_g_for_100g
"Pizza jambon fromage champignons ou pizza royale, reine ou regina, préemballée",863.0,205.0,863.0,205.0,,,,
"Crêpe ou Galette fourrée béchamel fromage, préemballée",623.0,149.0,623.0,149.0,,,,
"Flammenkueche ou Tarte flambée aux lardons, préemballée",1260.0,300.0,1260.0,300.0,,,,
"Crêpe ou Galette fourrée béchamel jambon fromage champignon, préemballée",666.0,159.0,666.0,159.0,,,,
"Tarte ou Tourte aux poireaux, préemballée",1020.0,243.0,1020.0,243.0,,,,
"Tarte au saumon, préemballée",899.0,215.0,899.0,215.0,,21.0,,
"Tourte au riesling, préemballée",1050.0,251.0,1050.0,251.0,,,,
"Tarte à la tomate, préemballée",910.0,218.0,910.0,218.0,,,,
"Crêpe ou Galette complète (oeuf, jambon, fromage), préemballée",873.0,209.0,873.0,209.0,,,,
"Tarte aux noix de Saint-Jacques, préemballée",1110.0,266.0,1110.0,266.0,,,,
"Pastilla au poulet, préemballée",910.0,218.0,910.0,218.0,,,,
"Pizza aux lardons, oignons et fromage, préemballée",1070.0,255.0,1070.0,255.0,,,,
"Crêpe ou Galette aux noix de St Jacques, préemballée",705.0,168.0,705.0,168.0,,,8.0,
Tarte ou quiche salée (aliment moyen),1110.0,267.0,1110.0,267.0,,,,
"Crêpe ou Galette fourrée béchamel champignon, cuite, préemballée",721.0,172.0,721.0,172.0,,,,
"Tarte au maroilles ou Flamiche au maroilles, préemballée",1310.0,315.0,1310.0,315.0,,,,
"Crêpe ou Galette fourrée au poisson et / ou fruits de mer, préemballée",857.0,206.0,857.0,206.0,,,,
"Ficelle picarde, préemballée",631.0,151.0,631.0,151.0,,,,
"Tarte épinard chèvre, préemballée",1020.0,244.0,1020.0,244.0,,,,
"Tielle sétoise, préemballée",1280.0,306.0,1280.0,306.0,,,16.0,
"Pizza au thon, préemballée",922.0,220.0,922.0,220.0,,,,
"Pizza kebab, préemballée",887.0,211.0,887.0,211.0,,,,
"Pizza au poulet, préemballée",903.0,215.0,903.0,215.0,,,,
"Pizza type raclette ou tartiflette, préemballée",1160.0,276.0,1160.0,276.0,,,,
"Pizza au speck ou jambon cru, préemballée",1010.0,240.0,1010.0,240.0,,,,47.0
"Focaccia, garnie",979.0,233.0,979.0,233.0,8.0,,,
"Fougasse, garnie",1280.0,306.0,1280.0,306.0,,,,
"Croque-monsieur, fait maison",,,,,,,,
"Hot-dog, préemballé",1160.0,278.0,1160.0,278.0,,,,
"Hamburger, provenant de fast food",1030.0,246.0,1030.0,246.0,,,,
"Cheeseburger, provenant de fast food",1120.0,268.0,1120.0,267.0,,,,
"Double cheeseburger, provenant de fast food",1250.0,299.0,1250.0,299.0,,,,
"Burger au poisson, provenant de fast food",1100.0,263.0,1100.0,263.0,,,,
"Sandwich grec ou Kebab, pita, crudités",977.0,233.0,977.0,233.0,,,,
"Sandwich grec ou Kebab, baguette, crudités",1030.0,246.0,1030.0,246.0,15.0,,,
"Sandwich baguette, thon, crudités (tomate, salade), mayonnaise",1150.0,274.0,1150.0,274.0,,32.0,,43.0
"Sandwich panini, jambon cru, mozzarella, tomates",1020.0,243.0,1020.0,243.0,,,,
"Sandwich baguette, jambon, oeuf dur, crudités (tomate, salade), beurre",934.0,222.0,934.0,222.0,,,,
"Sandwich baguette, poulet, crudités (tomate, salade), mayonnaise",1040.0,247.0,1040.0,247.0,10.0,,,
"Sandwich baguette, jambon emmental, préemballé",1190.0,285.0,1190.0,285.0,,,,
"Sandwich baguette, saumon fumé, beurre",1120.0,265.0,1120.0,265.0,,,,
"Sandwich baguette, thon, maïs, crudités, préemballé",831.0,198.0,831.0,198.0,,25.0,,
Burger au poulet,1040.0,249.0,1040.0,249.0,,,11.0,49.0
Pan bagnat,906.0,215.0,906.0,215.0,,,,
"Sandwich baguette, jambon, beurre",1190.0,285.0,1190.0,285.0,,,,
"Sandwich baguette, camembert, beurre",1420.0,339.0,1420.0,339.0,,,,
"Sandwich baguette, pâté, cornichons",1250.0,298.0,1250.0,298.0,,,,
"Sandwich baguette, saucisson, beurre",1600.0,383.0,1600.0,383.0,,32.0,,
"Sandwich baguette, jambon, emmental, beurre",1200.0,286.0,1200.0,286.0,,,,
Sandwich (aliment moyen),1020.0,243.0,1020.0,243.0,,,,
"Toasts ou Canapés salés, garnitures diverses, préemballés",971.0,233.0,971.0,233.0,,,,
"Sandwich baguette, crudités diverses, mayonnaise",930.0,221.0,930.0,221.0,,30.0,,52.0
"Sandwich baguette, dinde, crudités (tomate, salade), mayonnaise",1070.0,255.0,1070.0,255.0,,,,
"Sandwich baguette, oeuf, crudités (tomate, salade), mayonnaise",1040.0,247.0,1040.0,247.0,,,,
"Sandwich baguette, porc, crudités (tomate, salade), mayonnaise",1120.0,267.0,1120.0,267.0,12.0,,,44.0
"Sandwich baguette, merguez, ketchup moutarde",1180.0,282.0,1180.0,282.0,,31.0,,
"Sandwich baguette, salami, beurre",1580.0,379.0,1580.0,379.0,,,,28.0
Croque-madame,1100.0,264.0,1100.0,264.0,,,,
Sandwich baguette (aliment moyen),1160.0,277.0,1160.0,277.0,,,,
"Sandwich pain de mie, garnitures diverses, préemballé",1120.0,267.0,1120.0,267.0,,,,45.0
"Croque-monsieur, préemballé",1140.0,273.0,1140.0,273.0,,,,
"Sandwich pain de mie complet, jambon, crudités, fromage optionnel, préemballé",1020.0,243.0,1020.0,243.0,10.0,,,
"Sandwich pain de mie complet, thon, crudités, mayonnaise, préemballé",1010.0,240.0,1010.0,240.0,,,,
"Sandwich pain de mie complet, jambon, fromage, préemballé",1220.0,292.0,1220.0,292.0,,,,
"Sandwich pain de mie complet, poulet, crudités, mayonnaise, préemballé",972.0,232.0,972.0,232.0,,,,
"Cake salé (garniture : fromage, légumes, viande, poisson, volaille, etc.), préemballé",1340.0,321.0,1340.0,321.0,,,,
"Samossa ou Samoussa, préemballé, cuit",960.0,230.0,960.0,230.0,,,,
Feuilleté au poisson et / ou fruits de mer,1070.0,255.0,1070.0,255.0,,,13.0,
"Spécialité chinoise type bouchée à la vapeur, préemballée, cuite",630.0,149.0,630.0,149.0,,28.0,,
"Feuilleté aux escargots, préemballé",1340.0,321.0,1340.0,321.0,,,,
Feuilleté ou Friand au fromage,1260.0,302.0,1260.0,302.0,,,,46.0
"Feuilleté ou Friand à la viande, préemballé",1450.0,348.0,1450.0,348.0,,,,
"Bouchée à la reine, à la viande/volaille/quenelle",1220.0,292.0,1220.0,292.0,,,,
Croissant au jambon,1010.0,243.0,1010.0,243.0,,,,54.0
Rouleau de printemps,437.0,103.0,437.0,103.0,,,,
Nem ou Pâté impérial,904.0,216.0,904.0,216.0,,,,
"Brick garni (garniture : crevettes, légumes, volaille, viande, poisson, etc.), fait maison, cuit",781.0,187.0,781.0,187.0,,,,
"Bouchée à la reine, au poisson et fruits de mer",860.0,206.0,860.0,206.0,,,,
Feuilleté ou Friand jambon fromage,1210.0,290.0,1210.0,290.0,,,,
"Beignet de viande, volaille ou poisson, fait maison, cru",993.0,238.0,993.0,238.0,,10.0,,
"Brick à l'oeuf, fait maison, cuit",1060.0,255.0,1060.0,255.0,,,,
Brick au boeuf,1430.0,342.0,1430.0,342.0,,,17.0,27.0
"Brick à la pomme de terre, fait maison, cuit",898.0,215.0,898.0,215.0,,,,
