food_name_in_french,saturated_fats_in_g_for_100g,monounsaturated_fats_in_g_for_100g,polyunsaturated_fats_in_g_for_100g,butyric_acid_4_0_in_g_for_100g,caproic_acid_6_0_in_g_for_100g,caprylic_acid_8_0_in_g_for_100g,capric_acid_10_0_in_g_for_100g,lauric_acid_12_0_in_g_for_100g,myristic_acid_14_0_in_g_for_100g,palmitic_acid_16_0_in_g_for_100g,stearic_acid_18_0_in_g_for_100g,oleic_acid_18_1_n_9_in_g_for_100g,linoleic_acid_18_2_n_6_in_g_for_100g,alpha_linolenic_acid_18_3_n_3_in_g_for_100g,arachidonic_acid_20_4_n_6_in_g_for_100g,eicosapentaenoic_acid_20_5_n_3_in_g_for_100g,docosahexaenoic_acid_22_6_n_3_in_g_for_100g,cholesterol_in_mg_for_100g
"Grondin, cru",,,,,,,,,,,,,,,,,,
"Corb, cru",,,,,,,,,,,,,,,,,,
"Capelan, cru",,,,,,,,,,,,,,,,,,
"Dorade rose, ou daurade rose, crue",,,,,,,,,,,,,,,,,,
"Rouget-barbet de roche, vapeur",,,,,,,,,,,,,,,,,,
"Saupe, crue",,,,,,,,,,,,,,,,,,
"Chinchard, cru",,,,,,,,,,,,,,,,,,47.0
"Églefin, cru",,,,0.0,0.0,0.0,0.0,,,,,,,,,,,
"Congre, cru",,,,,,,,,,,,,,,,,,78.0
"Grenadier (de roche), cru",,,,,,,,,,,,,,,,,,
"Lieu jaune ou colin, cru",,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,,,
"Julienne ou Lingue, crue",,,,,,,,,,,,,,0.0,,,,38.0
"Tacaud, cru",,,,,,,,,,,,,,,,,,
"Lieu noir, cru",,,,,,,,0.0,,,,,,,,,,62.0
"Limande-sole, crue",,,,,,,,,,,,,,,,,,43.0
"Foie de morue, cru",14.0,31.0,17.0,,,,,,,,,,,,,,,
"Vivaneau, cru",,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,37.0
"Sabre, cru",,,,,,,,,,,,,,,,,,
"Flétan du Groënland ou flétan noir ou flétan commun, cru",,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,
"Carangue, cru",,,,,,,,,,,,,,,,,,
"Coulirou, cru",,,,,,,,,,,,,,,,,,
"Saumon, cru, sauvage",,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,53.0
"Requin, cru",,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,51.0
"Orphie commune, crue",,,,,,,,,,,,,,,,,,82.0
"Lompe, crue",,,,,,,,,,,,,,,,,,
"Brème, cru",,,,,,,,0.0,,,,,,,,,,66.0
"Omble chevalier, cru",,,,,,,,,,,,,,,,,,48.0
"Loup tacheté, cru",,,,,,,,,,,,,,,,,,58.0
"Sprat, cru",,,,,,,,,,,,,,,,,,87.0
"Turbot, cru",,,,,,,,,,,,,,,,,,48.0
"Corégone lavaret, cru",,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
"Mérou, cru",,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,37.0
"Lingue bleue ou Lingue, crue",,,,,,,,,,,,,,,,,,
"Sole tropicale ou Sole langue, crue",,,,,,,,,,,,,,,,,,
"Turbot d'élevage, cru",,,,,,,,,,,,,,,,,,
"Bar commun ou loup (Méditerranée), cru, sauvage",,,,,,,,,,,,,,,,,,
"Bar commun ou loup (Méditerranée), cru, élevage",,,,,,,,,,,,,,,,,,
"Baudroie rousse ou Lotte, crue",,,,,,,,,,,,,,,,,,
"Sébaste du nord, ou grand sébaste, ou dorade sébaste, ou daurade sébaste, crue",,,,0.0,0.0,0.0,0.0,,,,,,,,,,,
"Hoki, tout lieu de pêche, cru",,,,,,,,,,,,,,,,,,
"Grenadier bleu ou hoki de Nouvelle-Zélande, cru",,,,,,,,,,,,,,,,,,
"Grondin perlon, cru",,,,,,,,,,,,,,,,,,
"Merlu blanc du Cap, surgelé, cru",,,,,,,,,,,,,,,,,,
"Chinchard maigre, cru",,,,,,,,,,,,,,,,,,
"Chinchard gras, cru",,,,,,,,,,,,,,,,,,
"Hareng maigre, cru",,,,,,,,,,,,,,,,,,50.0
"Hareng gras, cru",,,,,,,,,,,,,,,,,,
"Joëls (petits poissons entiers) pour friture, crus",,,,,,,,,,,,,,,,,,
"Empereur, filet, sans peau, cru",,,,,,,,,,,,,,,,,,
"Rouget-barbet, filet avec peau, surgelé, cru (Thaïlande, Sénégal…)",,,,,,,,,,,,,,,,,,
"Carpe, crue, élevage",,,,0.0,0.0,0.0,0.0,,,,,,,,,,,
"Truite d'élevage, crue",,,,,,,,,,,,,,,,,,
"Truite arc en ciel, crue, élevage",,,,0.0,0.0,0.0,0.0,,,,,,,,,,,
"Perche, crue",,,,0.0,0.0,0.0,,,,,,,,,,,,
"Brochet, cru",,,,0.0,0.0,0.0,0.0,,,,,,,,,,,
"Esturgeon, cru",,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,63.0
"Anguille, crue",,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,120.0
"Pangasius ou Poisson-chat, cru",,,,0.0,0.0,0.0,0.0,,,,,,,,,,,
"Tilapia, cru",,,,0.0,0.0,0.0,0.0,,,,,,,,,,,
"Truite saumonée, crue",,,,,,,,,,,,,,,,,,48.0
"Lotte de rivière, crue",,,,,,,,0.0,,,,,0.0,,,,,60.0
"Sandre, cru",,,,,,,,0.0,,,,,,,,,,
"Perche du Nil, crue",,,,,,,,,,,,,,,,,,
"Bigorneau, cuit",,,,,,,,,,,,,,,,,,106.0
"Coquille Saint-Jacques, noix et corail, cuite",,,,0.0,0.0,0.0,0.0,,,,,,,,,,,44.0
"Crevette grise, cuite",,,,,,,,,,,,,,,,,,164.0
"Crevette, cuite",,,,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,,159.0
"Homard, bouilli/cuit à l'eau",,,,0.0,0.0,0.0,0.0,,,,,,,,,,,128.0
"Moule, bouillie/cuite à l'eau",,,,,,,,,,,,,,,,,,
"Bulot ou Buccin, cuit",,,,,,,,0.0,,,,,,,,,,127.0
"Langouste, bouillie/cuite à l'eau",,,,,,,,,,,,,,,,,,80.0
"Crabe ou Tourteau, bouilli/cuit à l'eau",,,,,,,,0.0,,,,,,,,,,
"Clam, Praire ou Palourde, bouilli/cuit à l'eau",,,,,,,,,,,,,,,,,,
"Écrevisse, cuite",,,,,,,,,,,,,,,,,,116.0
"Crevette rose bouquet, cuite",,,,,,,,,,,,,,,,,,209.0
"Calmar ou calamar ou encornet, bouilli/cuit à l'eau",,,,,,,,,,,,,,,,,,224.0
Fruits de mer (aliment moyen),,,,,,,,,,,,,,,,,,111.0
"Langoustine, bouillie/cuite à l'eau",,,,,,,,,,,,,,,,,,149.0
"Araignée de mer, cuite",,,,,,,,,,,,,,,,,,115.0
"Crevette pattes blanches, cuite",,,,,,,,,,,,,,,,,,181.0
"Crevette géante tigrée, cuite",,,,,,,,,,,,,,,,,,205.0
"Crevette royale rose, cuite",,,,,,,,,,,,,,,,,,237.0
"Poulpe, cuit",,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,96.0
"Fruits de mer, cuits, surgelés",,,,,,,,,,,,,,,,,,
"Calmar ou calamar ou encornet, frit ou poêlé avec matière grasse",,,,,,,,,,,,,,,,,,260.0
"Escargot, sans matière grasse ajoutée, cuit",,,,,,,,,,,,,,,,,,
"Grenouille, cuisse, grillée/poêlée",,,,,,,,,,,,,,,,,,
"Calmar ou calamar ou encornet, cru",,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,247.0
"Coquille Saint-Jacques, noix et corail, crue",,,,0.0,0.0,0.0,0.0,,,,,,,,,,,
"Escargot, cru",,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,
"Homard, cru",,,,0.0,0.0,0.0,0.0,,,,,,,,,,,117.0
"Huître, sans précision, crue",,,,,,,,,,,,,,,,,,
"Moule commune, crue",,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
"Langouste, crue",,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,125.0
"Seiche, crue",,,,,,,,0.0,,,,,,,,,,111.0
"Clam, Praire ou Palourde, cru",,,,0.0,0.0,0.0,0.0,,,,,,,,,,,40.0
"Poulpe, cru",,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,101.0
"Bulot ou Buccin, cru",,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,65.0
"Crevette, crue",,,,,,,,,,,,,,,,,,150.0
"Langoustine, crue",,,,,,,,0.0,,,,,,,,,,
"Moule de Méditerranée, crue",,,,,,,,,,,,,,,,,,
"Écrevisse, crue",,,,,,,,0.0,,,,,,,,,,131.0
"Huître creuse, crue",,,,0.0,0.0,0.0,0.0,,,,,,,,,,,
"Huître plate, crue",,,,,,,,,,,,,,,,,,98.0
"Crevette, surgelée, crue",,,,,,,,,,,,,,,,,,160.0
"Crabe, cru",,,,,,,,0.0,,,,,,,,,,78.0
"Ormeau, cru",,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,85.0
"Coquille Saint-Jacques, noix, crue",,,,,,,,,,,,,,,,,,38.0
"Pecten d'Amérique ou Peigne du canada, noix, crue",,,,,,,,,,,,,,,,,,
"Pétoncle ou Peigne du Pérou, noix, crue",,,,,,,,,,,,,,,,,,
"Crevette rose, crue",,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,112.0
"Grenouille, cuisse, crue",,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,50.0
"Rillettes de crabe, préemballées",,,,,,,,,,,,,,,,,,
"Rillettes de poisson, préemballées",,,,,,,,,,,,,,,,,,
"Rillettes de saumon, préemballées",,,,,,,,,,,,,,,,,,
"Rillettes de thon, préemballées",,,,,,,,,,,,,,,,,,
"Rillettes de maquereau, préemballées",,,,,,,,,,,,,,,,,,
"Terrine de poisson, préemballée",4.0,,,,,,,,,,,,,,,,,
"Terrine de fruits de mer, avec ou sans poisson, préemballée",,,,,,,,,,,,,,,,,,
"Tarama, préemballé",,,,,,,,,,,,,,,,,,
"Calmar ou Calamar ou encornet, à la romaine (beignet)",,,,,,,,,,,,,,,,,,90.0
"Crabe, miettes et ou pattes décortiquées, appertisé, égoutté",,,,,,,,0.0,,,,,,,,,,78.0
"Langoustine, panée, frite",,,,,,,,,,,,,,,,,,110.0
Beignet de crevette,,,,,,,,,,,,,,,,,,
"Moule, appertisée, égouttée",,,,,,0.0,0.0,0.0,,,,0.0,,,,,,38.0
"Escargot en sauce au beurre persillé, préemballé, cuit",,,,,,,,,,,,,,,,,,225.0
"Moules à la sauce catalane ou escabèche (tomate), appertisée, égouttée",,,,,,,,,,,,,,,,,,
Accra de poisson,,,,,,,,,,,,,,,,,,
Carpaccio de saumon avec marinade,,,,,,,,,,,,,,,,,,
"Maquereau, filet grillé, appertisé, nature, égoutté",,,,,,,,,,,,,,,,,,
"Anchois, filets roulés aux câpres, semi-conserve, égoutté",,,,,,,,,,,,,,,,,,
"Anchois, filets à l'huile, semi-conserve, égoutté",,,,,,,,,,,,,,,,,,
"Carrelet ou plie, pané, frit",2.0,,,,,,,,,,,,,,,,,60.0
"Oeufs de lompe, semi-conserve",,,,,,,,,,,,,,,,,,253.0
"Caviar, semi-conserve",,,,,,,,,,,,,,,,,,
Hareng mariné ou rollmops,,,,0.0,0.0,,,0.0,,,,,,,,,,
"Limande-sole, panée, frite",,,,,,,,,,,,,,,,,,
"Pilchard, sauce tomate, appertisé, égoutté",,,,,,,,0.0,,,,,,,,,,56.0
"Poisson, croquette ou beignet ou nuggets, frit",,,,,,,,,,,,,,,,,,49.0
"Poisson pané, surgelé, cru",,,,,,,,,,,,,,,,,,21.0
"Poisson pané, frit",,,,,,,,,,,,,,,,,,36.0
"Sardine, à l'huile, appertisée, égouttée",,,,,,,,,,,,,,,,,1.0,
"Sardine, sauce tomate, appertisée, égouttée",,,,,,,,,,,,,,,,,,
"Thon, au naturel, appertisé, égoutté",,,,,,,,,,,,,,,,,,50.0
"Sardine, à l'huile d'olive, appertisée, égouttée",,,,,,,,,,,,,,,,,,
"Surimi, bâtonnets, tranche ou râpé saveur crabe",,,,,,,,,,,,,,,,,,
"Oeufs de cabillaud, fumés, semi-conserve",,,,,,0.0,0.0,0.0,0.0,,,,,0.0,,,,
"Thon germon ou thon blanc, cuit à la vapeur sous pression",,,,,,,,,,,,,,,,,,
"Maquereau, filet sauce tomate, appertisé, égoutté",,,,,,,,,,,,,,,,,,75.0
"Maquereau, filet sauce moutarde, appertisé, égoutté",,,,,,,,,,,,2.0,,,,,,
"Maquereau, filet au vin blanc, appertisé, égoutté",,,,,,,,,,,,,,,,,,
"Saumon, appertisé, égoutté",,,2.0,,,,,0.0,,,,,,,,,,90.0
"Maquereau, au naturel, appertisé, égoutté",,,,0.0,0.0,0.0,0.0,,,,,,,,,,,
"Merlan, pané",,,,,,,,,,,,,,,,,,0.0
"Foie de morue, appertisé, égoutté",,,,,,,,,,,,,,,,,,186.0
"Oeufs de truite, semi-conserve",,,,,,,,,,,,,,,,,,443.0
"Anchois au sel (anchoité, semi-conserve)",,,,,,,,,,,,,,,,,,70.0
"Thon germon ou thon blanc, à l'huile d'olive, appertisé, égoutté",,,,,,,,,,,,,,,,,,
"Thon à l'huile de tournesol, entier, appertisé, égoutté",,,,,,,,,,,,,,,,,,
"Thon albacore ou thon jaune, au naturel, appertisé, égoutté",,,,,,,,,,,,,,,,,,
"Maquereau, mariné",,,,,,,,,,,,,,,,,,
"Anchois commun, mariné, préemballé",,,,,,,,,,,,,,,,,,105.0
"Sardine, filets sans arêtes à l'huile d'olive, appertisés, égouttés",,,,,,,,,,,,,,,,,,
"Surimi, fourré au fromage",,,,,,,,,,,,,,,,,,
"Thon à la tomate, miettes, appertisées, égouttées",,,,,,,,,,,,,,,,,,
"Thon, à la catalane ou à l'escabèche (sauce tomate), appertisé",,5.0,,,,,,,,,,,,,,,,
"Thon à l'huile de tournesol, miettes, appertisées, égouttées",,,,,,,,,,,,,,,,,,38.0
"Oeufs de saumon, semi-conserve",,,,,,,,,,,,,,,,,,541.0
"Oeuf, blanc (blanc d'oeuf), cuit",0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
"Oeuf, jaune (jaune d'oeuf), cuit",,,,,,,,,,,,,,,,,,612.0
"Oeuf, dur",,,,0.0,0.0,,,,,,,,,,,,,355.0
"Oeuf, poché",,,,,0.0,,,0.0,,,,,,,,0.0,,370.0
"Oeuf, à la coque",,,,,,,,,,,,,,,,,,222.0
"Oeuf, au plat, frit, salé",,,,,,,,0.0,,,,,,,,0.0,,334.0
"Oeuf, brouillé, avec matière grasse",,,,,,,,,,,,,,,,0.0,,277.0
"Oeuf, au plat, sans matière grasse",,,,,,,,,,,,,,,,,,736.0
"Oeuf, cru",,,,,,,,,,,,,,,,0.0,,398.0
"Oeuf, blanc (blanc d'oeuf), cru",0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Oeuf, jaune (jaune d'oeuf), cru",,,,0.0,0.0,,,,,,,,,,,,,939.0
"Oeuf de caille, cru",,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,844.0
"Oeuf de cane, cru",,,,0.0,0.0,0.0,0.0,0.0,,3.0,,,,,,0.0,0.0,884.0
"Oeuf d'oie, cru",,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,852.0
"Oeuf de dinde, cru",,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,933.0
"Oeuf, jaune (jaune d'oeuf), en poudre",,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,2320.0
"Oeuf, blanc (blanc d'oeuf), en poudre",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Oeuf, en poudre",,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,1670.0
Omelette au fromage,,,,,,,,,,,,,,,,,,253.0
Omelette aux lardons,,,,,,,,,,,,,,,,,,270.0
Omelette aux champignons,,,,,,,,,,,,,,,,,,247.0
Omelette aux fines herbes,,,,,,,,,,,,,,,,,,301.0
"Tortilla espagnole aux oignons (omelette aux pommes de terre et oignons), préemballée",,,,,,,,,,,,,,,,,,
"Omelette, garnitures diverses : légumes, fromages, viandes... (aliment moyen)",,,,,,,,,,,,,,,,,,210.0
"Protéine de soja texturée, réhydratée",,,,,,,,,,,,,,,,,,
"Tofu nature, préemballé",,,,,,,,,,,,,,,,,,0.0
"Tofu fumé, préemballé",,,,,,,,,,,,,,,,,,
"Bouchées ou émincé végétal au soja et blé (convient aux véganes ou végétaliens), préemballé",,,,,,,,,,,,,,,,,,
"Bouchées ou émincé au soja et blé  (ne convient pas aux véganes ou végétaliens), préemballé",,,,,,,,,,,,,,,,,,
"Seitan, préemballé",,,,,,,,,,,,,,,,,,
"Lait entier, UHT",,,,,,,,,,,,,,,,,,
"Lait entier, pasteurisé",,,,,,,,,,,,,,,0.0,0.0,0.0,14.0
"Lait demi-écrémé, UHT, enrichi en vitamine D seulement",,,,,,,,,,,,,,,,,,
"Lait à 1,2% de matière grasse, UHT, enrichi en plusieurs vitamines",,,,,,,,,,,,,,,,,,
"Lait, teneur en matière grasse inconnue, UHT (aliment moyen)",,,,,,,,,,,,,,,,,,
"Lait demi-écrémé, UHT",,,,,,,,,,,,,,,,,,
"Lait demi-écrémé, pasteurisé",,,,,,,,,,,,,,,,,,6.0
"Lait écrémé, UHT",,,,,,,,,,,,,,,,,,2.0
"Lait écrémé, pasteurisé",,,,,,,,,,,,,,,0.0,0.0,0.0,
Lait demi-écrémé (ou à teneur en matière grasse légèrement inférieure) à teneur réduite en lactose,,,,,,,,,,,,,,,,,,
"Lait de chèvre, entier, UHT",,,,,,,,,,,,,,,0.0,0.0,0.0,11.0
"Lait de chèvre, demi-écrémé, UHT",,,,,,,,,,,,,,,,,,
"Lait de chèvre, entier, cru",,,,,,,,,,,,,,,,,,
"Lait de jument, entier",,,,,,,,,,,,,,,,,,
"Lait de brebis, entier",,,,,,,,,,,,,,,0.0,0.0,0.0,27.0
"Lait en poudre, entier",,,,,,,,,,,,,,,,,,107.0
"Lait concentré non sucré, entier",,,,,,,,,,,,,,,,,,
"Lait concentré sucré, entier",,,,,,,,,,,,,,,,0.0,0.0,34.0
"Lait en poudre, demi-écrémé",,,,,,,,,,,,,,,,,,
"Lait en poudre, écrémé",,,,,,,,,,,,,,,,0.0,0.0,13.0
"Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, avec édulcorants, allégé en sucres, 0% MG, au L Casei",,,,,,,,,,,,,,,,,,
"Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, sucré",,,,,,,,,,,,,,,,,,
"Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, sucré, au L Casei",,,,,,,,,,,,,,,,,,
"Boisson lactée, lait fermenté ou yaourt à boire, aromatisé, sucré, enrichi en vitamine D",,,,,,,,,,,,,,,,,,
"Boisson lactée, lait fermenté ou yaourt à boire, aux fruits, sucré",,,,,,,,,,,,,,,,,,
"Boisson lactée, lait fermenté ou yaourt à boire, aux fruits, sucré, enrichie en vitamine D",,,,,,,,,,,,,,,,,,
"Boisson lactée, lait fermenté ou yaourt à boire, nature, sucré, au L Casei",,,,,,,,,,,,,,,,,,5.0
"Lait fermenté ou spécialité laitière type yaourt, aromatisé, sucré, au bifidus",,,,,,,,,,,,,,,,,,
"Lait fermenté ou spécialité laitière type yaourt, aux fruits, avec édulcorants, 0% MG, au bifidus",,,,,,,,,,,,,,,,,,
"Lait fermenté ou spécialité laitière type yaourt, aux fruits, sucré, au bifidus",2.0,,,,,,,,,,,,,,,,,
"Lait fermenté ou spécialité laitière type yaourt, aux fruits, 0% MG, avec édulcorants, aux esters de stérol",,,,,,,,,,,,,,,,,,
"Lait fermenté ou spécialité laitière type yaourt, nature, 0% MG, au bifidus",,,,,,,,,,,,,,,,,,
"Lait fermenté ou spécialité laitière type yaourt, nature, au bifidus",,,,,,,,,,,,,,,,,,
"Lait fermenté ou spécialité laitière type yaourt, sur lit de fruits, sucré, au bifidus",,,,,,,,,,,,,,,,,,
"Yaourt à la grecque, au lait de brebis",,,,,,,,,,,,,,,,,,
"Yaourt à la grecque, sur lit de fruits",,,,,,,,,,,,,,,,,,
"Yaourt au lait de brebis, aromatisé, sucré",,,,,,,,,,,,,,,,,,
"Yaourt au lait de brebis, nature, 3% MG environ",,,,,,,,,,,,,,,,,,
"Yaourt au lait de chèvre, nature, 5% MG environ",,,,,,,,,,,,,,,,,,11.0
"Yaourt, lait fermenté ou spécialité laitière sur lit de fruits, sucré",,,,,,,,,,,,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, aux céréales, 0% MG",,,,,,,,,,,,,,,,,,1.0
"Yaourt, lait fermenté ou spécialité laitière, aromatisé, avec édulcorants, 0% MG",,,,,,,,,,,,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, aromatisé, sucré",,,,,,,,,,,,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, aromatisé, sucré, à la crème",,,,,,,,,,,,,,,,,,19.0
"Yaourt, lait fermenté ou spécialité laitière, aromatisé, sucré, enrichi en vitamine D",,,,,,,,,,,,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, aux céréales",,,,,,,,,,,,,,,,,,13.0
"Yaourt, lait fermenté ou spécialité laitière, aux copeaux de chocolat, à la crème, sucré",,,,,,,,,,,,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, aux fruits, avec édulcorants, 0% MG",,,,,,,,,,,,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, aux fruits, avec édulcorants, 0% MG, enrichi en vitamine D",,,,,,,,,,,,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré",,,,,,,,,,,,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré, à la crème",,1.0,,,,,,,,,,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, aux fruits, sucré, enrichi en vitamine D",,,,,,,,,,,,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, nature",1.0,,,,,,,,,,,,,,,,,13.0
"Yaourt, lait fermenté ou spécialité laitière, nature, 0% MG",,,,,,,,,,,,,,,,0.0,0.0,2.0
"Yaourt, lait fermenté ou spécialité laitière, nature, 0% MG, enrichi en vitamine D",,,,,,,,,,,,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, nature, 0% MG, sucré, enrichi en vitamine D",,,,,,,,,,,,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, nature, à la crème",,,,,,,,,,,,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, nature, sucré",,,,,,,,,,,,,,,,,,
Yaourt ou spécialité laitière nature (aliment moyen),,,,,,,,,,,,,,,,,,12.0
Yaourt ou spécialité laitière nature ou aux fruits (aliment moyen),,,,,,,,,,,,,,,,,,
Yaourt ou spécialité laitière aux fruits (aliment moyen),,,,,,,,,,,,,,,,,,
"Spécialité laitière type encas, riche en protéines, sur lit de fruits, sucrée",,,,,,,,,,,,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, 0% MG (aliment moyen)",,,,,,,,,,,,,,,,,,0.0
"Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, non allégé en MG (aliment moyen)",,,,,,,,,,,,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, avec édulcorants (aliment moyen)",,,,,,,,,,,,,,,,,,0.0
"Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, sucré (aliment moyen)",,,,,,,,,,,,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits, sucré, non allégé en MG (aliment moyen)",,,,,,,,,,,,,,,,,,
"Yaourt, lait fermenté ou spécialité laitière, aromatisé ou aux fruits (aliment moyen)",,,,,,,,,,,,,,,,,,
"Lait fermenté à boire, nature, maigre",,,,,,,,,,,,,,,,,,
"Lait fermenté à boire, nature, au lait entier",,,,,,,,,,,,,,,,,,14.0
"Yaourt à la grecque, nature",,,,,,,,,,,,,,,0.0,0.0,0.0,
"Yaourt à la grecque, aromatisé, sucré",,,,,,,,,,,,,,,,,,
Kéfir de lait,,,,,,,,,,,,,,,,,,14.0
"Yaourt au lait de brebis, nature, 6% MG environ",,,,,,,,,,,,,,,,,,
Fromage blanc nature ou aux fruits (aliment moyen),,,,,,,,,,,,,,,,,,
"Fromage frais type petit suisse, aromatisé chocolat, sucré",,,,,,,,,,,,,,,,,,
Faisselle au coulis de fruits,,,,,,,,,,,,,,,,,,
"Faisselle, 0% MG",0.0,,,,,,,,,,,,,,,,,
"Faisselle, 6% MG environ",,,,,,,,,,,,,,,,,,
"Fromage blanc et crème fouettée sur lit de fruits, sucré",,,,,,,,,,,,,,,,,,
"Fromage blanc nature, 0% MG",,,,,,,,,,,,,,,,,,1.0
"Fromage blanc nature, 0% MG, enrichi en vitamine D",,,,,,,,,,,,,,,,,,
"Fromage blanc nature, 3% MG environ",,,,,,,,,,,,,,,,,,18.0
"Fromage blanc nature, 3% MG environ, au bifidus",,,,,,,,,,,,,,,,,,
"Fromage blanc nature, 3% MG environ, enrichi en vitamine D",,,,,,,,,,,,,,,,,,
"Fromage blanc nature, gourmand, 8% MG environ",,,,,,,,,,,,,,,0.0,0.0,0.0,
"Fromage blanc ou spécialité laitière nature et crème fouetté, 10% MG environ",,,,,,,,,,,,,,,,,,
"Fromage blanc ou spécialité laitière, aromatisé, sucré, 0% MG",,,,,,,,,,,,,,,,,,
"Fromage blanc ou spécialité laitière, aromatisé, sucré, 3% MG environ",,,,,,,,,,,,,,,,,,
"Fromage blanc ou spécialité laitière, aromatisé, sucré, 3% MG environ, au bifidus",,,,,,,,,,,,,,,,,,
"Fromage blanc ou spécialité laitière, aux copeaux de chocolat, sucré, 7% MG environ",,,,,,,,,,,,,,,,,,
"Fromage blanc ou spécialité laitière, aux fruits, avec édulcorants, allégé en sucres, 0% MG",,,,,,,,,,,,,,,,,,
"Fromage blanc ou spécialité laitière, aux fruits, sucré, 0% MG",0.0,,,,,,,,,,,,,,,,,
"Fromage blanc ou spécialité laitière, aux fruits, sucré, 3% MG environ",,,,,,,,,,,,,,,,,,
"Fromage blanc ou spécialité laitière, aux fruits, sucré, 3% MG environ, au bifidus",,,,,,,,,,,,,,,,,,
"Fromage blanc ou spécialité laitière, aux fruits, sucré, gourmand, 7% MG environ",,,,,,,,,,,,,,,,,,18.0
"Fromage frais type petit suisse, aux fruits, 2-3% MG",,,,,,,,,,,,,,,,,,
"Fromage frais type petit suisse, aux fruits, 2-3% MG, enrichi en calcium et vitamine D",,,,,,,,,,,,,,,,,,
"Fromage frais type petit suisse, nature, 0% MG",,,,,,,,,,,,,,,,,,
"Fromage frais type petit suisse, nature, 4% MG environ",,,,,,,,,,,,,,,,,,
"Mousse de fromage blanc sur lit de fruits, 0% MG, avec édulcorants, enrichie en calcium et vitamine D",,,,,,,,,,,,,,,,,,
"Fromage frais type petit suisse, nature, 10% MG environ",,,,,,,,,,,,,,,,,,
"Fromage frais type petit suisse, aromatisé ou aux fruits, 2-3% MG, enrichi en calcium et vitamine D",,,,,,,,,,,,,,,,,,
"Fromage blanc ou spécialité laitière, aux fruits, avec édulcorants, allégé en sucres, 3% MG environ",,,,,,,,,,,,,,,,,,
"Crème dessert, allégée en MG, rayon frais",,,,,,,,,,,,,,,,,,
"Flan aux oeufs, rayon frais",,,,,,,,,,,,,,,,,,
"Lait emprésuré aromatisé, rayon frais",,,,,,,,,,,,,,,,,,
